Date,Median Price 1 Bedroom,Median Price 2 Bedrooms,Median Price 3 Bedrooms,Median Price 4 Bedrooms,Median Price 5+ Bedrooms,Median Market Value (Single Family),Sales per Month,Median List Price,Median List Price per Square Foot,Median % Reduction,% of Homes Increasing in Value,% of Homes Decreasing in Value,% of Listings with Price Reduction,Zip_Code
1996-04-30,113900.0,116300.0,135000.0,162400.0,235900.0,136200.0,,,,,,,,46220
1996-05-31,113700.0,116100.0,134100.0,163100.0,237400.0,135100.0,,,,,,,,46220
1996-06-30,113500.0,116000.0,133000.0,163700.0,238900.0,133800.0,,,,,,,,46220
1996-07-31,113400.0,115900.0,132000.0,164300.0,240400.0,132200.0,,,,,,,,46220
1996-08-31,113100.0,115700.0,130900.0,165000.0,241900.0,130600.0,,,,,,,,46220
1996-09-30,113000.0,115600.0,130000.0,165700.0,243500.0,129000.0,,,,,,,,46220
1996-10-31,112900.0,115700.0,129400.0,166500.0,245200.0,127700.0,,,,,,,,46220
1996-11-30,112800.0,115800.0,129000.0,167300.0,247000.0,126700.0,,,,,,,,46220
1996-12-31,112900.0,116000.0,128900.0,168400.0,249000.0,126300.0,,,,,,,,46220
1997-01-31,112900.0,116300.0,129200.0,169400.0,251300.0,126400.0,,,,,,,,46220
1997-02-28,113100.0,116700.0,129900.0,170400.0,253600.0,127200.0,,,,,,,,46220
1997-03-31,113200.0,117300.0,131100.0,171400.0,256000.0,128500.0,,,,,,,,46220
1997-04-30,113500.0,118000.0,132800.0,172400.0,258700.0,130400.0,,,,,,,,46220
1997-05-31,113700.0,118700.0,134600.0,173500.0,261400.0,132800.0,,,,,,,,46220
1997-06-30,114000.0,119600.0,136800.0,174600.0,264200.0,135600.0,,,,,,,,46220
1997-07-31,114400.0,120600.0,139100.0,175700.0,266900.0,138500.0,,,,,,,,46220
1997-08-31,114800.0,121700.0,141500.0,176900.0,269500.0,141400.0,,,,,,,,46220
1997-09-30,115300.0,122900.0,143700.0,178100.0,272000.0,144000.0,,,,,,,,46220
1997-10-31,115900.0,124200.0,145900.0,179300.0,274400.0,146400.0,,,,,,,,46220
1997-11-30,116500.0,125600.0,148000.0,180700.0,276600.0,148500.0,,,,,,,,46220
1997-12-31,117200.0,127100.0,149800.0,182100.0,279000.0,150400.0,,,,,,,,46220
1998-01-31,118000.0,128600.0,151400.0,183600.0,281300.0,151900.0,,,,,,,,46220
1998-02-28,118700.0,130100.0,152700.0,184800.0,283400.0,153100.0,,,,,,,,46220
1998-03-31,119400.0,131600.0,154000.0,186000.0,285300.0,154200.0,,,,,,,,46220
1998-04-30,120200.0,133100.0,154900.0,187300.0,287200.0,155300.0,,,,,,,,46220
1998-05-31,120800.0,134300.0,155600.0,188400.0,288900.0,156200.0,,,,,,,,46220
1998-06-30,121400.0,135200.0,156000.0,189500.0,290300.0,156900.0,,,,,,,,46220
1998-07-31,121800.0,136000.0,156100.0,190500.0,291400.0,157200.0,,,,,,,,46220
1998-08-31,122100.0,136500.0,155800.0,191500.0,292000.0,157300.0,,,,,,,,46220
1998-09-30,122300.0,136700.0,155200.0,192400.0,292400.0,156800.0,,,,,,,,46220
1998-10-31,122500.0,136700.0,154400.0,193200.0,292500.0,155900.0,,,,,,,,46220
1998-11-30,122500.0,136500.0,153200.0,194100.0,292400.0,154500.0,,,,,,,,46220
1998-12-31,122500.0,136000.0,151800.0,195000.0,292300.0,152700.0,,,,,,,,46220
1999-01-31,122400.0,135500.0,150300.0,196000.0,292300.0,150600.0,,,,,,,,46220
1999-02-28,122400.0,135000.0,148800.0,196700.0,292300.0,148500.0,,,,,,,,46220
1999-03-31,122300.0,134300.0,147500.0,197400.0,292200.0,146500.0,,,,,,,,46220
1999-04-30,122100.0,133700.0,146300.0,198200.0,292200.0,144700.0,,,,,,,,46220
1999-05-31,121900.0,133100.0,145400.0,199000.0,292400.0,143500.0,,,,,,,,46220
1999-06-30,121700.0,132500.0,144700.0,199900.0,292700.0,142800.0,,,,,,,,46220
1999-07-31,103537.0,127869.0,152273.0,212290.0,253778.0,156934.0,,,,,,,,46220
1999-08-31,102703.0,126888.0,151118.0,212398.0,253916.0,155970.0,,,,,,,,46220
1999-09-30,102117.0,126472.0,150799.0,212744.0,253809.0,155730.0,,,,,,,,46220
1999-10-31,100813.0,125524.0,150260.0,213573.0,255143.0,155250.0,,,,,,,,46220
1999-11-30,99702.0,124491.0,150047.0,214457.0,256724.0,154990.0,,,,,,,,46220
1999-12-31,98777.0,123896.0,150108.0,214696.0,258452.0,155038.0,,,,,,,,46220
2000-01-31,97772.0,123239.0,150033.0,214475.0,258767.0,154967.0,,,,,,,,46220
2000-02-29,97118.0,123579.0,150332.0,214622.0,259545.0,155199.0,,,,,,,,46220
2000-03-31,96449.0,123628.0,150488.0,215246.0,260957.0,155248.0,,,,,,,,46220
2000-04-30,95639.0,124280.0,149900.0,215828.0,262766.0,154638.0,,,,,,,,46220
2000-05-31,94827.0,124901.0,149602.0,216816.0,265559.0,154342.0,,,,,,,,46220
2000-06-30,94247.0,125626.0,149269.0,218187.0,268581.0,153972.0,,,,,,,,46220
2000-07-31,94485.0,126339.0,149704.0,219708.0,271397.0,154297.0,,,,,,,,46220
2000-08-31,94908.0,127365.0,150787.0,220766.0,273063.0,155160.0,,,,,,,,46220
2000-09-30,95207.0,128299.0,151431.0,221334.0,275195.0,155623.0,,,,,,,,46220
2000-10-31,95538.0,128893.0,151636.0,221687.0,276341.0,155812.0,,,,,,,,46220
2000-11-30,95833.0,129847.0,151500.0,221897.0,277253.0,155745.0,,,,,,,,46220
2000-12-31,96051.0,130252.0,151278.0,223199.0,278921.0,155529.0,,,,,,,,46220
2001-01-31,96466.0,131068.0,151297.0,225061.0,282407.0,155566.0,,,,,,,,46220
2001-02-28,96610.0,130734.0,150903.0,226250.0,285211.0,155226.0,,,,,,,,46220
2001-03-31,97087.0,131082.0,150678.0,226575.0,286107.0,155100.0,,,,,,,,46220
2001-04-30,98116.0,131045.0,151472.0,226950.0,286248.0,155838.0,,,,,,,,46220
2001-05-31,99211.0,131168.0,152030.0,226846.0,284868.0,156333.0,,,,,,,,46220
2001-06-30,100035.0,131282.0,152774.0,226250.0,283598.0,157005.0,,,,,,,,46220
2001-07-31,99642.0,131229.0,152677.0,225388.0,282357.0,156889.0,,,,,,,,46220
2001-08-31,99400.0,131380.0,152680.0,225276.0,283321.0,156844.0,,,,,,,,46220
2001-09-30,99180.0,131182.0,152748.0,225343.0,283628.0,156856.0,,,,,,,,46220
2001-10-31,99278.0,131605.0,153020.0,225166.0,283368.0,157049.0,,,,,,,,46220
2001-11-30,99323.0,132046.0,153471.0,225229.0,282920.0,157458.0,,,,,,,,46220
2001-12-31,99610.0,132678.0,153625.0,224937.0,280537.0,157571.0,,,,,,,,46220
2002-01-31,100138.0,133116.0,153871.0,224727.0,278651.0,157666.0,,,,,,,,46220
2002-02-28,100845.0,133570.0,154190.0,224661.0,276490.0,157899.0,,,,,,,,46220
2002-03-31,101198.0,134051.0,154744.0,224728.0,276288.0,158345.0,,,,,,,,46220
2002-04-30,101277.0,133965.0,155439.0,224748.0,276255.0,158987.0,,,,,,,,46220
2002-05-31,101572.0,134096.0,156002.0,224703.0,276701.0,159444.0,,,,,,,,46220
2002-06-30,102029.0,134260.0,156563.0,224611.0,276116.0,159972.0,,,,,,,,46220
2002-07-31,102817.0,135015.0,156855.0,224429.0,275360.0,160289.0,,,,,,,,46220
2002-08-31,103136.0,135686.0,157075.0,224145.0,274099.0,160529.0,,,,,,,,46220
2002-09-30,103664.0,136457.0,157529.0,224520.0,274803.0,160932.0,,,,,,,,46220
2002-10-31,103983.0,136893.0,157653.0,225140.0,275369.0,161032.0,,,,,,,,46220
2002-11-30,104759.0,137392.0,157685.0,225533.0,276115.0,161076.0,,,,,,,,46220
2002-12-31,105189.0,138000.0,157984.0,225982.0,277672.0,161370.0,,,,,,,,46220
2003-01-31,105618.0,138589.0,158415.0,226501.0,279056.0,161852.0,,,,,,,,46220
2003-02-28,105594.0,138850.0,158868.0,227260.0,281311.0,162344.0,,,,,,,,46220
2003-03-31,105954.0,138761.0,159307.0,228355.0,282987.0,162842.0,,,,,,,,46220
2003-04-30,106259.0,139054.0,159825.0,229408.0,284905.0,163360.0,,,,,,,,46220
2003-05-31,106425.0,139317.0,160486.0,230068.0,285756.0,164002.0,,,,,,,,46220
2003-06-30,106510.0,139701.0,160921.0,230621.0,287251.0,164418.0,,,,,,,,46220
2003-07-31,106714.0,139951.0,161421.0,231688.0,290138.0,164947.0,,,,,,,,46220
2003-08-31,107217.0,140480.0,162052.0,233270.0,294203.0,165614.0,,,,,,,,46220
2003-09-30,107210.0,141002.0,162512.0,234326.0,297723.0,166172.0,,,,,,,,46220
2003-10-31,107212.0,141456.0,163127.0,234666.0,299815.0,166745.0,,,,,,,,46220
2003-11-30,107092.0,141707.0,163661.0,235033.0,301423.0,167177.0,,,,,,,,46220
2003-12-31,107621.0,141888.0,164071.0,235384.0,302802.0,167521.0,,,,,,,,46220
2004-01-31,108189.0,142203.0,164390.0,235558.0,303457.0,167798.0,,,,,,,,46220
2004-02-29,108985.0,143164.0,164647.0,235268.0,302616.0,168134.0,,,,,,,,46220
2004-03-31,109266.0,144041.0,165204.0,235455.0,301191.0,168702.0,,,,,,,,46220
2004-04-30,109352.0,144634.0,165564.0,236287.0,300690.0,169083.0,,,,,,,,46220
2004-05-31,108998.0,144471.0,165894.0,237735.0,302508.0,169315.0,,,,,,,,46220
2004-06-30,109049.0,144398.0,166122.0,239429.0,305985.0,169518.0,,,,,,,,46220
2004-07-31,109368.0,144481.0,166497.0,240722.0,309078.0,169871.0,,,,,,,,46220
2004-08-31,109873.0,144518.0,167052.0,241853.0,310672.0,170393.0,,,,,,,,46220
2004-09-30,110991.0,144849.0,167509.0,242201.0,310131.0,170792.0,,,,,,,,46220
2004-10-31,111222.0,145323.0,168035.0,242678.0,310349.0,171285.0,,,,,,,,46220
2004-11-30,111454.0,145917.0,168551.0,243081.0,310997.0,171800.0,,,,,,,,46220
2004-12-31,110964.0,146417.0,169158.0,243675.0,312670.0,172378.0,,,,,,,,46220
2005-01-31,110849.0,146371.0,169358.0,244713.0,316583.0,172555.0,,,,,,,,46220
2005-02-28,110742.0,145583.0,169852.0,246979.0,323149.0,172839.0,,,,,14.78,78.07,,46220
2005-03-31,111301.0,145133.0,169421.0,247910.0,329613.0,172228.0,,,,,14.62,77.71,,46220
2005-04-30,112479.0,145211.0,169272.0,247739.0,333733.0,171853.0,,,,,16.84,74.22,,46220
2005-05-31,114563.0,146431.0,168997.0,246555.0,333893.0,171610.0,,,,,12.16,79.57,,46220
2005-06-30,115784.0,147872.0,169426.0,245008.0,330860.0,171930.0,,,,,19.3,69.83,,46220
2005-07-31,116147.0,149110.0,169923.0,243484.0,326707.0,172323.0,,,,,26.89,60.64,,46220
2005-08-31,115614.0,150101.0,169736.0,241536.0,323936.0,172114.0,,,,,12.74,79.04,,46220
2005-09-30,115066.0,150136.0,169516.0,241562.0,324896.0,171890.0,,,,,14.93,75.69,,46220
2005-10-31,115083.0,150086.0,168909.0,242463.0,327296.0,171425.0,,,,,13.78,75.64,,46220
2005-11-30,115340.0,149951.0,168530.0,243865.0,329422.0,171168.0,,,,,11.33,79.14,,46220
2005-12-31,115511.0,150013.0,168215.0,244886.0,329849.0,170984.0,,,,,11.24,78.76,,46220
2006-01-31,115648.0,150517.0,168482.0,245555.0,328897.0,171285.0,,,,,16.18,72.44,,46220
2006-02-28,115724.0,151162.0,168494.0,245111.0,327043.0,171275.0,,,,,20.34,67.92,,46220
2006-03-31,115572.0,151541.0,168917.0,245155.0,326646.0,171777.0,,,,,27.02,60.54,,46220
2006-04-30,115014.0,151608.0,169072.0,245737.0,327218.0,172201.0,,,,,24.08,63.43,,46220
2006-05-31,113876.0,151472.0,169480.0,247428.0,330477.0,172880.0,,,,,20.64,67.92,,46220
2006-06-30,113329.0,150995.0,169418.0,249134.0,334182.0,173032.0,,,,,17.11,72.27,,46220
2006-07-31,112927.0,150241.0,168963.0,251169.0,338872.0,172587.0,,,,,17.66,70.78,,46220
2006-08-31,113701.0,149820.0,169234.0,253279.0,342080.0,172654.0,,,,,16.91,71.42,,46220
2006-09-30,113887.0,150337.0,169798.0,254952.0,344809.0,173123.0,,,,,15.27,73.24,,46220
2006-10-31,115428.0,151123.0,170662.0,255286.0,345649.0,173836.0,,,,,15.24,72.97,,46220
2006-11-30,116021.0,151390.0,170602.0,254178.0,346028.0,173710.0,,,,,17.51,69.95,,46220
2006-12-31,117066.0,151372.0,170609.0,253124.0,346881.0,173591.0,,,,,16.87,70.28,,46220
2007-01-31,117072.0,151164.0,170499.0,252311.0,348092.0,173447.0,,,,,19.08,67.38,,46220
2007-02-28,117124.0,151505.0,171024.0,252984.0,349596.0,174046.0,,,,,19.92,66.2,,46220
2007-03-31,117708.0,152055.0,171526.0,253597.0,349037.0,174573.0,,,,,21.87,64.81,,46220
2007-04-30,118121.0,152613.0,172146.0,254283.0,349065.0,175061.0,,,,,25.14,61.86,,46220
2007-05-31,118286.0,152313.0,171968.0,253666.0,347398.0,174648.0,,,,,27.85,57.72,,46220
2007-06-30,117919.0,151972.0,171875.0,253238.0,347108.0,174405.0,,,,,28.68,55.48,,46220
2007-07-31,118240.0,152257.0,172237.0,252675.0,346116.0,174801.0,,,,,28.95,54.9,,46220
2007-08-31,118137.0,152428.0,172471.0,252456.0,346426.0,175209.0,,,,,31.36,52.07,,46220
2007-09-30,118285.0,152386.0,172818.0,251626.0,345703.0,175601.0,,,,,33.77,50.15,,46220
2007-10-31,117095.0,151790.0,172914.0,251439.0,346103.0,175688.0,,,,,36.1,47.93,,46220
2007-11-30,117082.0,152227.0,174270.0,252920.0,347814.0,176987.0,,,,,35.71,49.09,,46220
2007-12-31,117035.0,153088.0,175416.0,255086.0,350706.0,178166.0,,,,,37.2,47.76,,46220
2008-01-31,117651.0,153776.0,176298.0,256529.0,351198.0,178955.0,,,,,35.98,50.06,,46220
2008-02-29,118305.0,153861.0,176198.0,256329.0,350506.0,178801.0,,,,,36.82,49.79,,46220
2008-03-31,117994.0,153005.0,175592.0,255359.0,348597.0,178069.0,,,,,37.1,48.94,,46220
2008-04-30,118101.0,152366.0,175035.0,254516.0,347346.0,177494.0,,,,,37.68,48.34,,46220
2008-05-31,117957.0,152111.0,175038.0,254139.0,345913.0,177360.0,,,,,41.98,43.74,,46220
2008-06-30,118638.0,152467.0,175247.0,254148.0,345051.0,177528.0,54.0,,,,45.57,40.36,,46220
2008-07-31,118349.0,152514.0,175196.0,254379.0,344715.0,177472.0,65.0,,,,51.97,33.76,,46220
2008-08-31,118617.0,152581.0,174854.0,254310.0,344637.0,177243.0,55.0,,,,56.78,29.75,,46220
2008-09-30,118130.0,152066.0,173907.0,253871.0,343775.0,176378.0,36.0,,,,58.75,28.04,,46220
2008-10-31,118259.0,152091.0,173389.0,253539.0,343059.0,175954.0,40.0,,,,60.22,26.84,,46220
2008-11-30,117128.0,151232.0,172237.0,252074.0,340050.0,174738.0,21.0,,,,63.12,25.25,,46220
2008-12-31,116270.0,149830.0,170824.0,249346.0,335285.0,173212.0,33.0,,,,67.3,23.25,,46220
2009-01-31,115945.0,148693.0,169622.0,247280.0,332875.0,171996.0,24.0,,,,71.85,19.3,,46220
2009-02-28,115305.0,147613.0,168386.0,245439.0,331118.0,170838.0,19.0,,,,74.28,17.57,,46220
2009-03-31,115206.0,147957.0,168416.0,245437.0,332471.0,170993.0,27.0,,,,78.93,14.27,,46220
2009-04-30,114493.0,148037.0,168243.0,244875.0,332024.0,170867.0,40.0,,,,79.34,13.82,,46220
2009-05-31,115017.0,148792.0,168980.0,245464.0,333984.0,171736.0,50.0,,,,77.47,15.7,,46220
2009-06-30,115362.0,149093.0,169551.0,246169.0,335914.0,172370.0,76.0,,,,76.5,16.25,,46220
2009-07-31,116540.0,149883.0,170735.0,247099.0,339010.0,173505.0,82.0,,,,76.91,15.39,,46220
2009-08-31,116624.0,150454.0,171874.0,247935.0,341021.0,174405.0,79.0,,,,76.49,15.36,,46220
2009-09-30,117705.0,151974.0,173541.0,249487.0,344056.0,176002.0,74.0,,,,77.05,14.96,,46220
2009-10-31,117903.0,152646.0,174237.0,250140.0,344804.0,176668.0,60.0,,,,78.15,13.55,,46220
2009-11-30,119553.0,154299.0,175601.0,252143.0,349005.0,178208.0,48.0,,,,75.61,15.19,,46220
2009-12-31,120485.0,155548.0,176735.0,253695.0,352671.0,179442.0,54.0,,,,70.83,19.43,,46220
2010-01-31,120028.0,156472.0,177431.0,254893.0,356349.0,180230.0,26.0,174900.0,116.97324414716,,72.63,16.16,,46220
2010-02-28,119586.0,157132.0,178294.0,255859.0,358230.0,180993.0,40.0,169900.0,118.57707509881,,68.87,18.36,,46220
2010-03-31,118724.0,157209.0,178276.0,255393.0,357793.0,180869.0,37.0,174900.0,122.62334805883,,61.5,23.65,,46220
2010-04-30,118961.0,157344.0,178478.0,255268.0,358331.0,180978.0,68.0,179800.0,123.17708333333,,55.42,28.45,,46220
2010-05-31,118394.0,157307.0,177941.0,254577.0,358203.0,180449.0,60.0,179900.0,124.70442175326,,52.46,31.86,,46220
2010-06-30,117456.0,157216.0,177452.0,253901.0,358320.0,179984.0,77.0,176900.0,124.58448753463,,50.31,33.93,,46220
2010-07-31,116102.0,156137.0,175894.0,251621.0,354876.0,178476.0,47.0,175000.0,122.66775777414,,51.28,34.19,,46220
2010-08-31,114832.0,154471.0,173761.0,248361.0,349933.0,176430.0,55.0,179000.0,123.76237623762,,52.96,32.53,,46220
2010-09-30,112981.0,151889.0,171102.0,244024.0,343058.0,173622.0,54.0,175000.0,123.76237623762,3.9030762890618,52.24,33.37,20.434782608696,46220
2010-10-31,111506.0,150639.0,169977.0,241760.0,339716.0,172313.0,32.0,174900.0,125.3630851098,3.5739814152966,50.62,33.54,19.630484988453,46220
2010-11-30,109837.0,149311.0,168886.0,239688.0,336289.0,170996.0,34.0,174900.0,125.3630851098,4.001921332233,49.3,35.26,15.211970074813,46220
2010-12-31,109246.0,149275.0,168840.0,239624.0,336200.0,170904.0,48.0,169900.0,121.05855855856,3.7064492216457,52.58,32.3,12.054794520548,46220
